日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093238,11141.856E,4047.533N,1108,22.594
20171005,093239,11141.852E,4047.532N,1106,20.928
20171005,093239,11141.852E,4047.532N,1106,20.928
20171005,093241,11141.837E,4047.557N,1181,22.780
20171005,093242,11141.830E,4047.563N,1199,22.594
20171005,093243,11141.826E,4047.561N,1195,26.298
20171005,093244,11141.821E,4047.560N,1194,26.854
20171005,093245,11141.815E,4047.559N,1192,27.224
20171005,093246,11141.810E,4047.560N,1194,27.039
20171005,093247,11141.806E,4047.558N,1195,25.743
20171005,093248,11141.800E,4047.558N,1196,27.224
20171005,093249,11141.796E,4047.555N,1184,27.595
20171005,093250,11141.791E,4047.551N,1174,26.854
20171005,093251,11141.787E,4047.549N,1167,23.891
20171005,093252,11141.783E,4047.547N,1162,20.557
20171005,093253,11141.779E,4047.548N,1159,19.816
20171005,093254,11141.776E,4047.547N,1151,17.779
20171005,093255,11141.771E,4047.547N,1147,17.224
20171005,093256,11141.769E,4047.549N,1147,20.372
20171005,093257,11141.767E,4047.552N,1147,24.261
20171005,093258,11141.766E,4047.556N,1146,30.188
20171005,093259,11141.764E,4047.560N,1145,34.262
20171005,093300,11141.762E,4047.565N,1144,37.225
20171005,093301,11141.759E,4047.571N,1144,41.114
20171005,093302,11141.757E,4047.577N,1143,42.040
20171005,093303,11141.754E,4047.583N,1142,43.152
20171005,093304,11141.751E,4047.589N,1142,41.670
20171005,093305,11141.748E,4047.595N,1142,41.114
20171005,093306,11141.746E,4047.601N,1142,40.559
20171005,093307,11141.743E,4047.607N,1142,39.633
20171005,093308,11141.741E,4047.613N,1141,38.151
20171005,093309,11141.738E,4047.618N,1142,34.818
20171005,093310,11141.737E,4047.623N,1141,30.558
20171005,093311,11141.735E,4047.627N,1140,27.410
20171005,093312,11141.734E,4047.631N,1140,24.446
20171005,093313,11141.733E,4047.634N,1139,21.483
20171005,093314,11141.732E,4047.637N,1139,17.964
20171005,093315,11141.731E,4047.639N,1139,14.816
20171005,093316,11141.730E,4047.641N,1140,13.149
20171005,093317,11141.730E,4047.643N,1139,12.964
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093318,11141.729E,4047.645N,1139,12.408
20171005,093319,11141.728E,4047.646N,1138,10.371
20171005,093320,11141.728E,4047.647N,1137,7.223
20171005,093321,11141.727E,4047.648N,1137,4.445
20171005,093322,11141.727E,4047.648N,1136,2.593
20171005,093323,11141.727E,4047.648N,1135,1.667
20171005,093324,11141.727E,4047.648N,1135,1.667
20171005,093325,11141.721E,4047.617N,1132,2.037
20171005,093326,11141.720E,4047.617N,1128,2.037
20171005,093327,11141.721E,4047.617N,1122,1.852
20171005,093328,11141.722E,4047.618N,1119,2.408
20171005,093329,11141.722E,4047.618N,1115,2.778
20171005,093330,11141.723E,4047.618N,1113,0.000
20171005,093331,11141.726E,4047.617N,1101,0.000
20171005,093332,11141.728E,4047.616N,1092,0.000
20171005,093333,11141.734E,4047.617N,1071,0.000
20171005,093334,11141.736E,4047.617N,1063,0.000
20171005,093335,11141.736E,4047.617N,1062,0.185
20171005,093336,11141.736E,4047.618N,1061,0.370
20171005,093337,11141.736E,4047.618N,1060,0.556
20171005,093338,11141.735E,4047.619N,1060,0.556
20171005,093339,11141.735E,4047.620N,1059,0.185
20171005,093340,11141.735E,4047.620N,1058,0.000
20171005,093341,11141.735E,4047.621N,1058,0.000
20171005,093342,11141.735E,4047.621N,1058,0.000
20171005,093343,11141.735E,4047.621N,1058,0.000
20171005,093344,11141.735E,4047.621N,1058,0.000
20171005,093345,11141.735E,4047.621N,1058,0.000
20171005,093346,11141.735E,4047.621N,1058,0.000
20171005,093347,11141.735E,4047.621N,1058,0.000
20171005,093348,11141.735E,4047.621N,1058,0.000
20171005,093349,11141.735E,4047.621N,1058,0.000
20171005,093350,11141.735E,4047.621N,1058,0.000
20171005,093351,11141.735E,4047.621N,1058,0.000
20171005,093352,11141.735E,4047.621N,1058,0.000
20171005,093353,11141.735E,4047.621N,1058,0.000
20171005,093354,11141.735E,4047.621N,1058,0.000
20171005,093355,11141.735E,4047.621N,1058,0.000
20171005,093356,11141.735E,4047.621N,1058,0.000
20171005,093357,11141.735E,4047.621N,1058,0.000
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093358,11141.735E,4047.621N,1058,0.000
20171005,093359,11141.735E,4047.621N,1058,0.000
20171005,093400,11141.735E,4047.621N,1058,0.000
20171005,093401,11141.735E,4047.621N,1058,0.000
20171005,093402,11141.735E,4047.621N,1058,0.000
20171005,093403,11141.735E,4047.621N,1058,0.000
20171005,093404,11141.735E,4047.621N,1058,0.000
20171005,093405,11141.735E,4047.621N,1058,0.000
20171005,093406,11141.735E,4047.621N,1058,0.000
20171005,093407,11141.735E,4047.621N,1058,0.000
20171005,093408,11141.735E,4047.621N,1058,0.000
20171005,093409,11141.734E,4047.622N,1058,1.111
20171005,093410,11141.734E,4047.622N,1058,1.482
20171005,093411,11141.734E,4047.623N,1058,1.852
20171005,093412,11141.734E,4047.623N,1058,2.408
20171005,093413,11141.734E,4047.623N,1058,3.148
20171005,093414,11141.734E,4047.624N,1058,4.260
20171005,093415,11141.733E,4047.624N,1058,5.741
20171005,093416,11141.733E,4047.626N,1058,2.778
20171005,093417,11141.733E,4047.626N,1058,0.000
20171005,093418,11141.733E,4047.627N,1058,0.000
20171005,093419,11141.733E,4047.627N,1058,0.000
20171005,093420,11141.733E,4047.627N,1058,0.000
20171005,093421,11141.733E,4047.627N,1058,0.000
20171005,093422,11141.733E,4047.627N,1058,0.000
20171005,093423,11141.733E,4047.627N,1058,0.000
20171005,093424,11141.733E,4047.627N,1058,0.000
20171005,093425,11141.733E,4047.627N,1058,0.000
20171005,093426,11141.733E,4047.627N,1058,0.000
20171005,093427,11141.733E,4047.627N,1058,0.000
20171005,093428,11141.733E,4047.627N,1058,0.000
20171005,093429,11141.733E,4047.627N,1058,0.000
20171005,093430,11141.733E,4047.627N,1058,0.000
20171005,093431,11141.733E,4047.627N,1058,0.000
20171005,093432,11141.733E,4047.627N,1058,0.000
20171005,093433,11141.733E,4047.627N,1058,0.000
20171005,093434,11141.733E,4047.627N,1058,0.000
20171005,093435,11141.733E,4047.627N,1058,0.000
20171005,093436,11141.733E,4047.627N,1058,0.000
20171005,093437,11141.733E,4047.627N,1058,0.741
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093438,11141.733E,4047.627N,1058,0.741
20171005,093439,11141.733E,4047.627N,1058,0.741
20171005,093440,11141.733E,4047.627N,1058,1.111
20171005,093441,11141.733E,4047.627N,1057,1.111
20171005,093442,11141.733E,4047.627N,1057,1.667
20171005,093443,11141.733E,4047.627N,1057,1.667
20171005,093444,11141.732E,4047.628N,1058,2.037
20171005,093445,11141.732E,4047.628N,1057,2.778
20171005,093446,11141.732E,4047.628N,1057,3.519
20171005,093447,11141.731E,4047.629N,1057,4.630
20171005,093448,11141.731E,4047.630N,1057,7.593
20171005,093449,11141.729E,4047.631N,1057,9.445
20171005,093450,11141.729E,4047.633N,1057,12.964
20171005,093451,11141.727E,4047.635N,1058,13.705
20171005,093452,11141.726E,4047.637N,1058,16.298
20171005,093453,11141.724E,4047.640N,1058,17.964
20171005,093454,11141.722E,4047.642N,1058,16.853
20171005,093455,11141.721E,4047.645N,1058,15.557
20171005,093456,11141.720E,4047.647N,1058,17.224
20171005,093457,11141.719E,4047.649N,1058,16.298
20171005,093458,11141.718E,4047.651N,1058,15.742
20171005,093459,11141.717E,4047.654N,1058,18.520
20171005,093500,11141.716E,4047.657N,1058,22.039
20171005,093501,11141.715E,4047.660N,1057,22.780
20171005,093502,11141.714E,4047.664N,1057,22.224
20171005,093503,11141.713E,4047.667N,1057,23.891
20171005,093504,11141.711E,4047.670N,1058,22.780
20171005,093505,11141.709E,4047.674N,1057,22.965
20171005,093506,11141.708E,4047.677N,1057,22.409
20171005,093507,11141.707E,4047.680N,1057,21.854
20171005,093508,11141.705E,4047.683N,1057,20.928
20171005,093509,11141.704E,4047.686N,1057,17.594
20171005,093510,11141.704E,4047.688N,1058,16.483
20171005,093511,11141.703E,4047.690N,1058,16.668
20171005,093512,11141.702E,4047.693N,1057,17.409
20171005,093513,11141.701E,4047.695N,1057,15.372
20171005,093514,11141.701E,4047.697N,1057,11.112
20171005,093515,11141.700E,4047.699N,1057,9.816
20171005,093516,11141.700E,4047.700N,1056,9.075
20171005,093517,11141.699E,4047.701N,1056,4.445
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093518,11141.700E,4047.702N,1056,3.704
20171005,093519,11141.700E,4047.702N,1057,4.260
20171005,093520,11141.701E,4047.703N,1057,5.741
20171005,093521,11141.700E,4047.704N,1057,10.556
20171005,093522,11141.700E,4047.706N,1057,17.409
20171005,093523,11141.699E,4047.710N,1057,24.261
20171005,093524,11141.698E,4047.713N,1057,24.261
20171005,093525,11141.697E,4047.716N,1057,17.038
20171005,093526,11141.696E,4047.718N,1057,8.334
20171005,093527,11141.696E,4047.719N,1057,0.000
20171005,093528,11141.696E,4047.719N,1057,0.000
20171005,093529,11141.695E,4047.719N,1057,0.000
20171005,093530,11141.695E,4047.719N,1057,0.000
20171005,093531,11141.695E,4047.719N,1057,0.000
20171005,093532,11141.695E,4047.719N,1057,0.000
20171005,093533,11141.695E,4047.719N,1057,0.000
20171005,093534,11141.695E,4047.719N,1057,0.000
20171005,093535,11141.695E,4047.719N,1057,0.000
20171005,093536,11141.695E,4047.719N,1057,0.000
20171005,093537,11141.695E,4047.719N,1057,0.000
20171005,093538,11141.695E,4047.719N,1057,0.000
20171005,093539,11141.695E,4047.719N,1057,0.000
20171005,093540,11141.695E,4047.719N,1057,0.000
20171005,093541,11141.695E,4047.719N,1057,0.000
20171005,093542,11141.695E,4047.719N,1057,0.000
20171005,093543,11141.695E,4047.719N,1057,0.000
20171005,093544,11141.695E,4047.719N,1057,0.000
20171005,093545,11141.695E,4047.719N,1057,0.000
20171005,093546,11141.695E,4047.719N,1057,0.000
20171005,093547,11141.695E,4047.719N,1057,0.000
20171005,093548,11141.695E,4047.719N,1057,0.000
20171005,093549,11141.695E,4047.719N,1057,0.000
20171005,093550,11141.695E,4047.719N,1057,0.000
20171005,093551,11141.695E,4047.719N,1057,0.000
20171005,093552,11141.695E,4047.719N,1057,0.000
20171005,093553,11141.695E,4047.719N,1057,0.000
20171005,093554,11141.695E,4047.719N,1057,0.000
20171005,093555,11141.695E,4047.719N,1057,0.000
20171005,093556,11141.695E,4047.719N,1057,0.000
20171005,093557,11141.695E,4047.719N,1057,0.000
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093558,11141.695E,4047.719N,1057,0.000
20171005,093559,11141.695E,4047.719N,1057,0.000
20171005,093600,11141.695E,4047.719N,1057,0.000
20171005,093601,11141.695E,4047.719N,1057,0.000
20171005,093602,11141.695E,4047.719N,1057,0.000
20171005,093603,11141.695E,4047.719N,1057,0.000
20171005,093604,11141.695E,4047.719N,1057,0.000
20171005,093605,11141.695E,4047.719N,1057,0.000
20171005,093606,11141.695E,4047.719N,1057,0.000
20171005,093607,11141.695E,4047.719N,1057,0.000
20171005,093608,11141.695E,4047.719N,1057,0.000
20171005,093609,11141.695E,4047.719N,1057,0.000
20171005,093610,11141.695E,4047.719N,1057,0.000
20171005,093611,11141.695E,4047.719N,1057,0.000
20171005,093612,11141.695E,4047.719N,1057,0.000
20171005,093613,11141.695E,4047.719N,1057,0.000
20171005,093614,11141.695E,4047.719N,1057,0.000
20171005,093615,11141.695E,4047.719N,1057,0.000
20171005,093616,11141.695E,4047.719N,1057,0.000
20171005,093617,11141.695E,4047.719N,1057,0.000
20171005,093618,11141.695E,4047.719N,1057,0.000
20171005,093619,11141.695E,4047.719N,1057,0.000
20171005,093620,11141.695E,4047.719N,1057,0.000
20171005,093621,11141.695E,4047.719N,1057,0.000
20171005,093622,11141.695E,4047.719N,1057,0.000
20171005,093623,11141.695E,4047.719N,1057,0.000
20171005,093624,11141.695E,4047.719N,1057,0.000
20171005,093625,11141.695E,4047.719N,1057,0.000
20171005,093626,11141.695E,4047.719N,1057,0.000
20171005,093627,11141.695E,4047.719N,1057,0.000
20171005,093628,11141.695E,4047.719N,1057,0.000
20171005,093629,11141.695E,4047.719N,1057,0.000
20171005,093630,11141.695E,4047.719N,1057,0.000
20171005,093631,11141.695E,4047.719N,1057,0.000
20171005,093632,11141.695E,4047.719N,1057,0.000
20171005,093633,11141.695E,4047.719N,1057,0.000
20171005,093634,11141.695E,4047.719N,1057,0.000
20171005,093635,11141.695E,4047.719N,1057,0.000
20171005,093636,11141.695E,4047.719N,1057,0.000
20171005,093637,11141.695E,4047.719N,1057,0.000
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093638,11141.695E,4047.719N,1057,0.000
20171005,093639,11141.695E,4047.719N,1057,0.000
20171005,093640,11141.695E,4047.719N,1057,0.000
20171005,093641,11141.695E,4047.719N,1057,0.000
20171005,093642,11141.695E,4047.719N,1057,0.000
20171005,093643,11141.695E,4047.719N,1057,0.000
20171005,093644,11141.695E,4047.719N,1057,0.000
20171005,093645,11141.695E,4047.719N,1057,0.000
20171005,093646,11141.695E,4047.719N,1057,0.000
20171005,093647,11141.695E,4047.719N,1057,0.000
20171005,093648,11141.695E,4047.719N,1057,0.000
20171005,093649,11141.695E,4047.719N,1057,0.000
20171005,093650,11141.695E,4047.719N,1057,0.000
20171005,093651,11141.695E,4047.719N,1057,0.000
20171005,093652,11141.695E,4047.719N,1057,0.000
20171005,093653,11141.695E,4047.719N,1057,0.000
20171005,093654,11141.695E,4047.719N,1057,0.000
20171005,093655,11141.695E,4047.719N,1057,0.000
20171005,093656,11141.695E,4047.719N,1057,0.000
20171005,093657,11141.695E,4047.719N,1057,0.000
20171005,093658,11141.695E,4047.719N,1057,0.000
20171005,093659,11141.695E,4047.719N,1057,0.000
20171005,093700,11141.695E,4047.719N,1057,0.000
20171005,093701,11141.695E,4047.719N,1057,0.000
20171005,093702,11141.695E,4047.719N,1057,0.000
20171005,093703,11141.695E,4047.719N,1057,0.000
20171005,093704,11141.695E,4047.719N,1057,0.000
20171005,093705,11141.691E,4047.722N,1053,6.482
20171005,093706,11141.690E,4047.724N,1053,14.446
20171005,093707,11141.688E,4047.726N,1054,20.372
20171005,093708,11141.687E,4047.730N,1054,24.076
20171005,093709,11141.685E,4047.733N,1054,27.410
20171005,093710,11141.682E,4047.737N,1054,29.447
20171005,093711,11141.680E,4047.742N,1054,29.632
20171005,093712,11141.678E,4047.746N,1054,30.002
20171005,093713,11141.676E,4047.750N,1055,32.966
20171005,093714,11141.673E,4047.755N,1055,33.521
20171005,093715,11141.670E,4047.760N,1056,36.299
20171005,093716,11141.668E,4047.765N,1056,37.596
20171005,093717,11141.665E,4047.770N,1056,37.225
日期（年月日）,时间（时分秒）,经度（度分秒),纬度（度分秒),海拔（米）,车速（千米\小时）
20171005,093718,11141.663E,4047.776N,1056,37.040
20171005,093719,11141.660E,4047.781N,1057,38.522
20171005,093720,11141.658E,4047.787N,1057,40.374
20171005,093721,11141.656E,4047.793N,1057,42.411
20171005,093722,11141.653E,4047.800N,1058,43.522
20171005,093723,11141.650E,4047.806N,1059,44.078
20171005,093724,11141.648E,4047.813N,1059,42.781
20171005,093725,11141.646E,4047.818N,1060,37.225
20171005,093726,11141.645E,4047.823N,1060,28.336
20171005,093727,11141.644E,4047.827N,1060,23.150
20171005,093728,11141.642E,4047.830N,1060,19.446
20171005,093729,11141.641E,4047.832N,1060,15.372
20171005,093730,11141.640E,4047.834N,1060,12.779
20171005,093731,11141.639E,4047.836N,1061,12.223
20171005,093732,11141.638E,4047.838N,1061,15.927
20171005,093733,11141.637E,4047.840N,1061,21.854
20171005,093734,11141.635E,4047.844N,1061,26.854
20171005,093735,11141.633E,4047.848N,1061,28.521
20171005,093736,11141.630E,4047.853N,1061,32.410
20171005,093737,11141.628E,4047.857N,1061,34.077
20171005,093738,11141.626E,4047.862N,1061,34.077
20171005,093739,11141.623E,4047.867N,1061,35.188
20171005,093740,11141.621E,4047.873N,1062,34.632
20171005,093741,11141.619E,4047.878N,1062,34.632
20171005,093742,11141.617E,4047.883N,1062,35.744
20171005,093743,11141.615E,4047.889N,1062,36.670
20171005,093744,11141.612E,4047.894N,1062,36.114
20171005,093745,11141.610E,4047.899N,1062,35.188
20171005,093746,11141.607E,4047.904N,1062,34.632
20171005,093747,11141.605E,4047.909N,1062,35.188
20171005,093748,11141.603E,4047.914N,1062,32.410
20171005,093749,11141.601E,4047.919N,1062,30.743
20171005,093750,11141.599E,4047.923N,1063,28.706
20171005,093751,11141.597E,4047.927N,1063,26.669
20171005,093752,11141.594E,4047.930N,1064,24.632
20171005,093753,11141.593E,4047.934N,1064,22.780
20171005,093754,11141.591E,4047.937N,1064,20.557
